iid,gender,idg,partner,pid,match,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s
1,0,1,1,11,0,0.35,0.2,0.2,0.2,0,0.05,0,0.136363636,0.181818182,0.181818182,0.181818182,0.181818182,0.136363636,7,4,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.15,0.225,0.175,0.175,0.15,0.125,7,6,2,4,0,0,0,0,0
1,0,1,2,12,0,0.6,0,0,0.4,0,0,0,0.159090909,0.181818182,0.227272727,0.159090909,0.159090909,0.113636364,8,4,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.170731707,0.195121951,0.170731707,0.195121951,0.12195122,0.146341463,7,5,1,4,0,0,0,0,0
1,0,1,3,13,1,0.19,0.18,0.19,0.18,0.14,0.12,1,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,10,10,1,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.119047619,0.19047619,0.214285714,0.19047619,0.119047619,0.166666667,7,,1,4,0,0,0,0,0
1,0,1,4,14,1,0.3,0.05,0.15,0.4,0.05,0.05,1,0.142857143,0.163265306,0.183673469,0.163265306,0.183673469,0.163265306,7,7,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.166666667,0.142857143,0.19047619,0.166666667,0.142857143,0.19047619,7,6,2,4,0,0,0,0,0
1,0,1,5,15,1,0.3,0.1,0.2,0.1,0.1,0.2,1,0.173913043,0.152173913,0.195652174,0.130434783,0.195652174,0.152173913,8,6,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.135135135,0.162162162,0.189189189,0.189189189,0.162162162,0.162162162,6,6,2,4,0,0,0,0,0
1,0,1,6,16,0,0.5,0,0.3,0.1,0,0.1,1,0.159090909,0.159090909,0.181818182,0.181818182,0.159090909,0.159090909,7,6,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,0,0.117647059,0.264705882,0.205882353,0.117647059,0.176470588,0.117647059,6,5,2,4,0,0,0,0,0
1,0,1,7,17,0,0.35,0.15,0.25,0.1,0.05,0.1,0,0.083333333,0.166666667,0.194444444,0.138888889,0.222222222,0.194444444,2,1,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.189189189,0.162162162,0.189189189,0.108108108,0.162162162,0.189189189,6,5,2,4,0,0,0,0,0
1,0,1,8,18,0,0.333333333,0.111111111,0.111111111,0.111111111,0.111111111,0.222222222,0,0.157894737,0.184210526,0.131578947,0.157894737,0.210526316,0.157894737,7,5,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,0,0.108108108,0.243243243,0.189189189,0.162162162,0.135135135,0.162162162,6,7,,4,0,0,0,0,0
1,0,1,9,19,1,0.5,0,0.25,0.1,0,0.15,1,0.14893617,0.14893617,0.170212766,0.170212766,0.170212766,0.191489362,6.5,8,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.152173913,0.130434783,0.173913043,0.195652174,0.173913043,0.173913043,7,7,2,4,0,0,0,0,0
1,0,1,10,20,0,1,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,6,6,2,21,1,2,7,1,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0.15,0.2,0.2,0.15,0.15,0.15,0.162162162,0.216216216,0.216216216,0.216216216,0.189189189,1,0.11627907,0.139534884,0.139534884,0.186046512,0.23255814,0.186046512,6,6,2,4,0,0,0,0,0
2,0,3,1,11,0,0.35,0.2,0.2,0.2,0,0.05,0,0.195121951,0.170731707,0.146341463,0.219512195,0.170731707,0.097560976,7,2,2,24,1,1,5,1,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0.45,0.05,0.25,0.2,0,0.05,0.212121212,0.151515152,0.303030303,0.242424242,0.090909091,0,0.151515152,0.212121212,0.242424242,0.121212121,0.181818182,0.090909091,6,4,2,3,0,0,0,0,0
2,0,3,2,12,0,0.6,0,0,0.4,0,0,0,0.175,0.15,0.25,0.15,0.15,0.125,8,4,2,24,1,1,5,1,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0.45,0.05,0.25,0.2,0,0.05,0.212121212,0.151515152,0.303030303,0.242424242,0.090909091,0,0.2,0.125,0.15,0.15,0.225,0.15,7,3,2,3,0,0,0,0,0
2,0,3,3,13,0,0.19,0.18,0.19,0.18,0.14,0.12,1,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,10,10,2,24,1,1,5,1,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0.45,0.05,0.25,0.2,0,0.05,0.212121212,0.151515152,0.303030303,0.242424242,0.090909091,0,0.142857143,0.228571429,0.257142857,0.171428571,0.085714286,0.114285714,6,7,2,3,0,0,0,0,0
2,0,3,4,14,1,0.3,0.05,0.15,0.4,0.05,0.05,1,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,9,7,2,24,1,1,5,1,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0.45,0.05,0.25,0.2,0,0.05,0.212121212,0.151515152,0.303030303,0.242424242,0.090909091,1,0.170731707,0.219512195,0.170731707,0.146341463,0.12195122,0.170731707,7,8,2,3,0,0,0,0,0
